title,title_url,company,cicon,cicon1,type,keyword,popular,date,easy_apply,salary_min,salary_max
自動車の修理・整備スタッフ／月給25万円～／残業なし／17:30退社／アットホームな職場,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l62dd48a2ecb917f0393fdfb11d1f235e&p=t%2BAK7k0GmMUr0ZRss/MBm4U6W/Xol4N%2BPg3Jqgz2QOOTd6uDvMamp0g05DfbzI9/fFTjVmVWcjo04B79n9%2Bj9lYtZ3Bbe2u8p1GqFeRxtPMPGDDQDul/bcr4EiRNB/7PipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v8/OXC0GRQ1Xabb3qUUOxFfsabtNO3kSRd0GE3eA7XUGlHpCXxhFNxKZf%2BmsR5oGavFqS/Iss9a/SLMTb84ZMxW3%2BaLkvYChve6sfZc59tkpEfaSlTHOzXlh%2BAH9/6YQer6Y3aj59iYxmNPmGSpvBOWa3yBPXbCI4nOT51CtXDyyLdpXG71aVE1Au3/VnVFK8Wpv9tSI07nYGu6xOuayih4SlmnfZUtpoi7SAA/nxdc3Qg%3D%3D&ph=9543389a3172&phv=1,有限会社タダムラ自動車鈑金,                     石川県 金沢市 近岡町 / 大河端駅 車5分                                    ,月給25万円～35万円 / 賞与あり・昇給あり,正社員,                    学歴不問                                     交通費                                     学生歓迎                                     駐車場あり                                     UIターン                                     週休2日                                     残業なし                 ,,14日以上前,かんたん応募,,
                     テレビ朝日系列局で伝える仕事 技術・総合職 制作／マスター                 ,https://xn--pckua2a7gp15o89zb.com/jb/385e484b986955468e1cfa3ae2a59571,株式会社放送技術社,                     金沢市 松島                                    ,月給21万500円～ / 昇給あり,正社員,                    未経験OK                                     服装自由                                     特別休暇                                     上場企業                                     資格手当                                     経験者優遇                                     週休2日                 ,人気,14日以上前,,,
産業医／大手企業での常勤産業医／産業医複数名体制のため、産業医,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=la532fd63af202e12776075faa85b8a3d&p=t%2BAK7k0GmMUr0ZRss/MBm5pDMBTDuDL2%2BsTO0o6pWBA8OE3WwQVbNRCA2MLLV7lmvEjvQHsaVSduVqhFx9bhE1YtZ3Bbe2u8p1GqFeRxtPOO4Z83XKJZYyq1iqHCfGjaipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkMuV7Wm9wrxim9MPKRc5TfY47Tvg1R45s2rz3cRgtyOvCPUQVBJkrmd%2BWir7s/DRxXOb341e2RTVjQgUG/1axYsbhS4nF4caoVPxNtpOre3ccQa%2B9Jqf2oy4aM4fcFebsY96YXa5QExjSXbX%2BS934j7H0mVUz6Pud%2BFfsf%2BoMk6WsyJ%2BHVa/Snhgo4NlkwxptW5WdF2tfFDU2bp3J6wU61DZWr8yWVr90AXFRlD5qzle&ph=6f7ab8deeabe&phv=1,,                     石川県 金沢市                                    ,"年収900万円～1,200万円",契約社員,                    交通費                                     週休2日                                     産業医                 ,,14日以上前,,,
ブランド・ジュエリー等の買取査定スタッフ／完全ノルマなしで賞与年3回,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=a68ce425f366bbaecb4a1273f6e71732&p=t%2BAK7k0GmMUr0ZRss/MBm92yDxLaZGRTQo2F6P046htGtAc6A7tueJfuY/FSS3BdxLb/SJZpw8zIsbTJzbO1OlYtZ3Bbe2u8p1GqFeRxtPM59zKToLc9LvCTzVCpgo0%2BipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQjAl22JGnDmX9hSAF/hwEbDLKg05/T1MOOt/FfzMx2QxTeYnAVl3Iwg5dfjAwkY4Waf6D1uIcANYWt%2BPlC3YBSnOb341e2RTVjQgUG/1axYsbhS4nF4caoVPxNtpOre3ccQa%2B9Jqf2oy4aM4fcFebsZXntVnBtxIt7ZnyCGlbtaUWouv5d0mZom8XRsViggSqAYNjDSjhyb5Ad0yOVoT2oLITI8GOzdJNHGgzysa0Iuc%3D&ph=a01ba3d19d4b&phv=1,株式会社ローカルメイド,                     石川県 金沢市 神宮寺                                    ,月給35万円～ / 昇給あり,正社員,                    未経験OK                                     急募                                     資格手当                                     EXCEL                                     AT限定可                                     社割あり                                     シフト自由                 ,人気,9日前,かんたん応募,,
個人営業,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l092d38eb7dfff1b84e42f0253ad39001&p=t%2BAK7k0GmMUr0ZRss/MBmwttqWnuVO8n49owDosurM24l6I3G8UuI9ZM2k9vcLw88uy30DO/cApE8VZxJY6g4lYtZ3Bbe2u8p1GqFeRxtPOOMgxMh%2B21e9WmRT8IjAmPipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v89n7lQuoLg%2B9Ivazcny5iWFkluA4vjnghDy2ON30VM6wnpCXxhFNxKZf%2BmsR5oGavFqS/Iss9a/SLMTb84ZMxW3%2BaLkvYChve6sfZc59tkpEY9UyJFLOzFmUrp7BwblJCO2d14RRHnUvCy75e9GQDKcD68tFZMD8ueGydiWSRw7fky4Wu%2BruKZgKNnuXNBAqeDke0huxvzl/IFJVS7FUyp5Xje6yzTjKdakEqX6pFLtYQ%3D%3D&ph=9da4085f8ecd&phv=1,株式会社高橋ブッサン 福久店,                     石川県 金沢市 荒屋                                    ,月給24万円～34万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     女性活躍                                     資格取得支援                                     ノルマなし                                     寮・社宅あり                                     家族手当                                     インセンティブ                 ,,6日前,かんたん応募,,
LPガス入出荷・設置点検／週休2日制,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lb719b3561b2c716a7b7b1f06414fc74e&p=t%2BAK7k0GmMUr0ZRss/MBm9dI7/k4nT1uMP3IaY9vJf2Kltcwg%2BBWtAKa7Q48p5NGYrS2OH0ftFG1ckKWYmjN%2BlYtZ3Bbe2u8p1GqFeRxtPOlcyHOdawIv/aB%2B9uqaOviipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v8/gQTI2tqV3XsQQUZIPnS0xyrYwjScWhLtR8dODQEYEE4GgdrO7OjYqvB7FJ8BikU73vKbdUbtVNLRPnO6EJq7DD0UPTvJTKQ1AbtNnyqDfszUCdQcnZOFVwP3QyBQtkvDEtXQsTcjdMxjU8eeuM4FmSjlVRCTqTzyBM8UZa/pZMowC%2BOhn6qbOs6TUJhudsM%2B5HW0tgtAMPyaFglSEL88MRVHQdqu%2B3iQHGMg72daXfw%3D%3D&ph=0bea7c13b96c&phv=1,株式会社コバヨウ,                     石川県 金沢市 大野町                                    ,月給18万円～27万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     社保完備                                     交通費                                     資格手当                                     EXCEL                                     週休2日                                     家族手当                 ,人気,11時間前,かんたん応募,,
障がい者グループホームの世話人,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l3d477ff1c36ca2227db1776a452eb09f&p=t%2BAK7k0GmMUr0ZRss/MBmyKd50%2B6NH/uGLataXZpLhS3VuiaTtkHN%2Bg14ll5ojq%2BrX4K1ACnYNiUFskWD5e1YlYtZ3Bbe2u8p1GqFeRxtPOGtF8bycYo36T1MB0FwhO5ipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v89Np2aIv5m25gqavMY25yWvyoxF6NZ8Ao8d5A9DOEl0r4GgdrO7OjYqvB7FJ8BikU73vKbdUbtVNLRPnO6EJq7DD0UPTvJTKQ1AbtNnyqDfszmm/VAwpo95uk0U%2BTxv%2BLpd/aAylKi0rG7QfsF29voKItBMHv3OrcEMPqw88E5gRa9pGOXTWsTSeb8mOzZRqvjbt9Ct%2Bympu4%2B3SGNXieKfDiAOdO6VOlXP3xQdMqDSIA%3D%3D&ph=d3318b8e45bd&phv=1,株式会社ピーチスター,                     石川県 金沢市 泉野町 / 野町駅 車9分                                    ,"時給1,000円～1,300円",アルバイト・パート,                    未経験OK                                     ブランクOK                                     禁煙・分煙                                     駐車場あり                                     WワークOK                                     シフト制                                     フリーター歓迎                 ,人気,14日以上前,かんたん応募,,
                     レジ打ち、精肉・青果・鮮魚販売／ドラッグストア クスリのアオキ                 ,https://xn--pckua2a7gp15o89zb.com/jb/2269df3c2aee15108c01ef20889e760c,株式会社クスリのアオキ,                     金沢市 西金沢駅 車6分                                    ,"時給1,000円～1,100円 / 交通費支給",アルバイト・パート,                    未経験OK                                     女性活躍                                     禁煙・分煙                                     友達応募OK                                     社保完備                                     社員登用                                     扶養内OK                 ,人気,14日以上前,,,
                     店舗スタッフ 賞与3.8ヶ月／週休2日／私生活に活かせる知識も                 ,https://xn--pckua2a7gp15o89zb.com/jb/2f9732a78e3992c04d9b3127364bd760,中部薬品株式会社,                     石川県 金沢市                                    ,月給20万円～30万円 / 昇給あり,正社員,                    未経験OK                                     学歴不問                                     交通費                                     UIターン                                     AT限定可                                     車通勤OK                                     社保完備                 ,人気,9日前,,,
                     ルート配送 土日祝休                 ,https://xn--pckua2a7gp15o89zb.com/jb/d46b5e236f9a8d8fe5e8d4ec6b8f2b0c,株式会社シンコー運輸,                     金沢市 湊                                    ,"月給22万円～28万2,000円 / 昇給あり",正社員,                    未経験OK                                     学歴不問                                     車通勤OK                                     資格取得支援                                     土日祝休                                     交通費                                     経験者優遇                 ,人気,8日前,,,
                     事故後に寄り添う、頼れる存在へー 損害調査員 実働7時間                 ,https://xn--pckua2a7gp15o89zb.com/jb/e2ae3da52238561ed703105a18b32d5a,株式会社ジック,                     石川県 金沢市                                    ,年収279万円～450万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     女性活躍                                     残業少                                     年俸制                                     UIターン                                     第二新卒                                     転勤なし                 ,人気,14日以上前,,,
                     ブドウ・スイカ栽培等の農業スタッフ                 ,https://xn--pckua2a7gp15o89zb.com/jb/bd426ff0242336083e52dd0fb3eaed9e,グローバルマイクロニクス株式会社,                     金沢市 北陽台                                    ,月給23万円～28万円,正社員,                    未経験OK                                     学歴不問                                     住宅手当                                     産休・育休                                     禁煙・分煙                                     交通費                                     シフト制                 ,人気,14日以上前,,,
                     朝食サービススタッフ／スマイルホテル金沢西口駅前                 ,https://xn--pckua2a7gp15o89zb.com/jb/f759ee9f463cbed1c40397593469ca11,ホスピタリティオペレーションズ,                     金沢市 広岡 / 金沢駅 徒歩4分                                    ,"時給1,200円～ / 交通費支給",アルバイト・パート,                    学歴不問                                     制服あり                                     シフト制                                     ホテル                                     年齢不問                 ,人気,14日以上前,,,
                     イベントスタッフ、データ入力                 ,https://xn--pckua2a7gp15o89zb.com/jb/b2809269c9d7efb780c1cca185eaf5d3,株式会社ネクストレベル,                     金沢市 野町駅                                    ,"時給1,250円～2,500円 / 交通費支給",アルバイト・パート,                    未経験OK                                     女性活躍                                     禁煙・分煙                                     土日祝休                                     駅チカ                                     服装自由                                     週休2日                 ,人気,9日前,,,
                     ホールスタッフ／やよい軒 金沢駅西店                 ,https://xn--pckua2a7gp15o89zb.com/jb/e168bf50653fd4cae1acfec537c71207,株式会社プレナス,                     金沢市 駅西新町 / 磯部駅 徒歩18分                                    ,"時給1,150円～1,438円 / 交通費支給",アルバイト・パート,                    未経験OK                                     ミドル・シニア                                     食事補助                                     社保完備                                     WワークOK                                     シフト制                                     車通勤OK                 ,人気,8日前,,,
                     499tの船を操る 総合職 機関士・航海士 月給40万以上可                 ,https://xn--pckua2a7gp15o89zb.com/jb/0b601bc854c72625134f34df8e0a4966,愛鷹海運株式会社,                     石川県 金沢市                                    ,月給38万円～ / 賞与あり・昇給あり,正社員,                    ブランクOK                                     学歴不問                                     資格取得支援                                     UIターン                                     社保完備                                     交代・交替制                                     食事補助                 ,人気,14日以上前,,,
                     防火シャッターの 点検管理スタッフ 年間休日125日                 ,https://xn--pckua2a7gp15o89zb.com/jb/d2e87284cf4d6030deb5992e3459ace7,文化シヤッターサービス株式会社,                     石川県 金沢市                                    ,"月給19万300円～26万6,750円 / 賞与あり・昇給あり",正社員,                    未経験OK                                     女性活躍                                     AT限定可                                     車通勤OK                                     時短OK                                     家族手当                                     UIターン                 ,人気,9日前,,,
                     時給大幅アップ!／石川県金沢市のホテルのレストラン&バーの接客サービス                 ,https://xn--pckua2a7gp15o89zb.com/jb/cfb8b2eec7013f274b22edebacba3498,株式会社ホテル金沢,                     金沢市 堀川新町                                    ,"時給1,350円～1,600円 / 交通費支給",アルバイト・パート,                    未経験OK                                     学歴不問                                     フリーター歓迎                                     履歴書不要                                     駅チカ                                     学生歓迎                                     経験者優遇                 ,人気,9日前,,,
電気工事の経験者募集中!／太陽光や蓄電池等の工事作業スタッフ,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l4ef9871ea3c73efd8f9a117ad04ffb62&p=t%2BAK7k0GmMUr0ZRss/MBm/Ryhon39UejBnsconiJVacciASSuMaR/dbQLhFU14bqyaOyxRXxwB2JLVJDCidid1YtZ3Bbe2u8p1GqFeRxtPNbhVrK6uXY%2BWCDIvTLN3YUXT7P3mkCZEvlhbw2u87O8GfW8jL%2BtXnrHlb7Qha6SS/pm916/Komd9trD4CAyUh5UVbbeI1FLgRPHOUPgv19oQ3EvrnkX/lXdJOlC%2BdguPO0XbyT2TF24wxVY2vHo6LuhzPrLELBo1vayaI7gNIJEP2Naswl/7bGF/DTXy/%2BHxaBPyxj5x3Qc5kKOHrtfNSPt/XmXwDudYnQAG4v%2B8Vb8pcEC2PUX4/stvqXM157If4/FTvdSQuru8SE0FuBpRnh54i10dNbohGfFCfOiyMwKArQHEp6W9J%2BUniM/g9W7sSS5%2BEnNDdT3/h5eb/CVwgh88AD4cgqZ80Ll7y1kTkT/1G6AXuMzq2keZR/KCzZ5SryIY2inpeLf2Ev7ecGsbaIV0kCe1P50wPo4DwnfYW6nQ4gDnTulTpVz98UHTKg0iA%3D&ph=8a9cfacf6d36&phv=1,株式会社日光,                     石川県 金沢市 上荒屋                                    ,月給35万円～70万円 / 賞与あり・昇給あり,正社員,                    ミドル・シニア                                     経験者歓迎                                     オープニング                                     週休2日                                     残業少                                     資格取得支援                                     駐車場あり                 ,人気,14日以上前,かんたん応募,,
                     cosme STOREの 美容部員 研修充実 完全週休2日 年休124日                 ,https://xn--pckua2a7gp15o89zb.com/jb/e7f15388a73d132e15332dd9b0efc086,株式会社アイスタイルリテール,                     石川県 金沢市 / 金沢フォーラス                                    ,"月給23万1,000円～31万円 / 昇給あり",正社員,                    未経験OK                                     服装自由                                     オープニング                                     研修あり                                     経験者優遇                                     残業月～30時間                                     資格取得支援                 ,人気,9日前,,,
電気工事の経験者募集中!／太陽光や蓄電池等の工事作業スタッフ,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l4ef9871ea3c73efd8f9a117ad04ffb62&p=t%2BAK7k0GmMUr0ZRss/MBm/ZxtPshCzWVnWmLIKHIzdgilauLJbo7GA%2BuV057CkXeyVqyQDa1c1QOUtED4pAD3A/PRXX0j1EvMIxYtrtJfJtSYDoePSJpEs0fC4MV9zrbipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v88JJ5Iqm7qUIhbAmu1Yzxu7pziej14g1mDEnJDIQIavz3pCXxhFNxKZf%2BmsR5oGavFqS/Iss9a/SLMTb84ZMxW3%2BaLkvYChve6sfZc59tkpEeFLwsY7/IwkKnoGf0H/MTEOrttjp3JE%2BcGZ2Kp4urjTj0oxvvTmz6ln1lFKKEmQzX6c5ZcahlvPnRjqyMfdoNpMMwPFcpErU9kjlWQisdv9NcJgnzvVRtOAuGH7AJhVUdMbjvi0S8bYACVIFCSCTFc%3D&ph=ee273996747e&phv=1,株式会社日光,                     石川県 金沢市 上荒屋                                    ,月給35万円～70万円 / 賞与あり・昇給あり,正社員,                    ミドル・シニア                                     経験者歓迎                                     オープニング                                     週休2日                                     残業少                                     資格取得支援                                     駐車場あり                 ,人気,14日以上前,かんたん応募,,
病院や介護施設のカーテン交換スタッフ／土日祝休み,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lf24ac64afd14308bebd07f3c2a268de7&p=t%2BAK7k0GmMUr0ZRss/MBmzoV1fO569I/Y29iuYW4ll7Kx%2BzPQ5b2R20J1VywADPviZ/%2BXWDm5i/0JlR9Qmhezg/PRXX0j1EvMIxYtrtJfJshbjRBFcuYZ5FniR4McUTZipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v8/o%2BO12WFNzFuDgSj0Z1UXCEetW/pRvJEkPvNCh6d9vSnpCXxhFNxKZf%2BmsR5oGavFqS/Iss9a/SLMTb84ZMxW3%2BaLkvYChve6sfZc59tkpERkIdGFqxWI46lCW4S7wJqJaycTntBdjvVuIs6LQJmXoAMng84uLgss9FVKhB0Abcp/WiA4Ne38I%2B1AiUnwupQaW/PwU3Dry9ywZRriqBImgLTgtbLGzKXBXhaQlDTII1Q%3D%3D&ph=839ee8d80e57&phv=1,キングラン中部株式会社,                     石川県 金沢市 河原市町                                    ,月給19万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     車通勤OK                                     AT限定可                                     土日祝休                                     産休・育休                                     体を動かす                                     即日勤務                 ,,6日前,かんたん応募,,
食品工場の製造スタッフ,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l3a124314cac3eea6b6dce1e8c799c8b4&p=t%2BAK7k0GmMUr0ZRss/MBm8Cq0OCs%2BUZ4MZaKaOO/r1/ha4cZy/BlGyVoLpjHwi3x50AU71PjasApr7W1Ol2Lfg/PRXX0j1EvMIxYtrtJfJt8OFs9MJoAC2E1e3EaMERNipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v88y6XpkSjvcev8l8bRxWz8oqOHMDxgr02OwqNj5mh9JvHpCXxhFNxKZf%2BmsR5oGavFqS/Iss9a/SLMTb84ZMxW3%2BaLkvYChve6sfZc59tkpEVx5AkEyd6DetBOKmPgWRwuz1IYdUUBFXyVViK16j6m6bpFgfC27LBlPj%2B3NR1/T6LwRyn2ibm6r4bXBQX4OUJj2BCGFfC4wTCrZudhJrHD2G51GReqgXhtb6vbEnDQVKPK0LqFRE4PgQtaELpc0b1Y%3D&ph=ae38296bfc57&phv=1,笠井食品株式会社,                     石川県 金沢市 米泉町                                    ,月給20万円～27万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     学歴不問                                     交通費                                     男性活躍                                     ノルマなし                                     駅チカ                                     急募                 ,,2日前,かんたん応募,,
                     高速道路料金システムの 設備管理 賞与5か月分 社宅あり                 ,https://xn--pckua2a7gp15o89zb.com/jb/eb6794b470912698c87def9a5f3a20ba,高速道路トールテクノロジー株式会社,                     石川県 金沢市                                    ,"月給19万1,700円～ / 賞与あり・昇給あり",正社員,                    未経験OK                                     女性活躍                                     残業月～30時間                                     第二新卒                                     車通勤OK                                     週休2日                                     残業少                 ,人気,13日前,,,
                     ハローワーク 清掃スタッフ／金沢公共職業安定所                 ,https://xn--pckua2a7gp15o89zb.com/jb/adfd357cc61b729c411cb7a55864dd8e,太平ビルサービス株式会社,                     金沢市 鳴和                                    ,"時給1,150円～1,300円",アルバイト・パート,                    未経験OK                                     女性活躍                                     バイクOK                                     主婦・主夫                                     土日祝休                                     シフト制                                     扶養内OK                 ,人気,14日以上前,,,
商業施設の冷凍冷蔵設備メンテナンス,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l8aebb97e60541555170b15f25d162854&p=t%2BAK7k0GmMUr0ZRss/MBm7P%2B%2Bh4%2BqGvb1C4Y9zIdhvtkChW32mzUZbJYRIhmwtMkQw4xCyMUufDvrtmLePo5/w/PRXX0j1EvMIxYtrtJfJsjjsgWqg7L2zNL4osmm4OXipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v89OX3JN7pbzw9cbCOcRx63HDIqZcJNERoYvcHwcOznuDXpCXxhFNxKZf%2BmsR5oGavFqS/Iss9a/SLMTb84ZMxW3%2BaLkvYChve6sfZc59tkpEXhnGIsMCwl4ntyzXUdBfol59WYwnqVIIcFd4A/41DUiV76thPU2hx209%2BpkhLHYUJdvQGlm4NQuiOsuZWJDveMWouv5d0mZom8XRsViggSq%2BDZfcyy5dSAdeolrSIgdAJZp32VLaaIu0gAP58XXN0I%3D&ph=3edddb6d4d0e&phv=1,株式会社エムエス,                     石川県 金沢市 金沢駅                                    ,月給26万円～45万円 / 賞与あり・昇給あり,正社員,                    女性活躍                                     学歴不問                                     資格取得支援                                     制服あり                                     交通費                                     社保完備                                     UIターン                 ,人気,14日以上前,かんたん応募,,
金沢／面接1回／分譲住宅の開発企画 企画にチャレンジしたい方へ／手当充実／固定給で安定して稼げる,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lade014b0dcf92799f36b7dba7ee86c1c&p=t%2BAK7k0GmMUr0ZRss/MBmy4VIAH/PThtpcTGixKKNB81oFyKJBBLsAqRZIB/8vSB4OagzFNcGGVaE6SL0gt3hfxwSAMo8oOVg36t6uhbe1yB4EnOb/PubiD840BJtlMl79N%2BsoBQkkcIMNYBNMcl4NDX2Z2UWCINE5Kco2TOhtM375rPVCdWqzS4b4%2B88cfJGgn9NDQxqf3tHfyL%2B0GJuzNSUm1KNqN/VkllCeDUvba2lo5abI22yMtIipbAR7F2HKeFWMtFgh3onzB4J2KWHSzRWweMF4ahieCoh3JCg5/RK7KVNLqigiqZggBDIVXioq1ef9A7aQXYRAEVcryDZlRDWpeqnJ9GcsYlJ48UuHb4Nrq0UUJZN8OBqqsLZze97mrlwSsvKQCMnwCLGPhG/H7YSQQ1jUY1xWxICNaFdJNTjxFjrIFPXE7GLLRshlzn&ph=c822ab78aeb3&phv=1,株式会社アーネストワン,                     石川県 金沢市 西念                                    ,年収550万円～700万円 / 賞与あり・昇給あり,正社員,                    固定給                                     特別休暇                                     禁煙・分煙                                     週休2日                 ,,7日前,,,
営業・販売／サービス関連 未経験でも大丈夫 ピタッと18時まで 出荷作業など 大手・上場企業,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l918d27b07f0555cc16496053ecee7fad&p=t%2BAK7k0GmMUr0ZRss/MBmwWN%2BclQ%2Bxcj%2BzkY78BBUQbMUNR7/0Mtgbs%2BatXMcjOPnkLj4ynaW/tfUKCasQSX6vxwSAMo8oOVg36t6uhbe1yyRtlCC4GTMFijOcDKR7s779N%2BsoBQkkcIMNYBNMcl4NDX2Z2UWCINE5Kco2TOhtM375rPVCdWqzS4b4%2B88cfJGgn9NDQxqf3tHfyL%2B0GJuzNSUm1KNqN/VkllCeDUvba2lo5abI22yMtIipbAR7F2HKeFWMtFgh3onzB4J2KWHSzRWweMF4ahieCoh3JCg583b71m0IW9yn1L/zLez9lfoq1ef9A7aQXYRAEVcryDZqjEYnQ4WSU5OKk9yFHRLo%2BakPcx7aYF2/vQBVk3wnevmWjmGeCfIcz7RoA3c9qiP9KE7WH2ZziA943aCA651hoOj9RBPp/8wI8i0FAnhr6N62CougoyphKtsZUd7MAuWNfXDyYejca0KRSpvd3ZvYPKlt4qLyC3QkbjgInVlBJ8&ph=7b2875b73c8d&phv=1,株式会社スタッフサービス,                     石川県 金沢市                                    ,"時給1,300円 / 交通費支給",派遣社員,                    未経験OK                                     資格取得支援                                     禁煙・分煙                                     土日祝休                                     ミドル・シニア                                     駐車場あり                                     研修あり                 ,,14日以上前,,,
入社時と在籍1年で祝い金あり!負担少なく働ける建物鉄骨の組立スタッフ,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lcc3e6d545452356aa02a7726656e24e4&p=t%2BAK7k0GmMUr0ZRss/MBm32gAx1T1bQ2UBPsLA7NEPDbj7C2blayN5mAHQjnG1%2BUx5vrtP%2BsGV6TNf3UHAUvmA/PRXX0j1EvMIxYtrtJfJsMDHNhr8RkP6qSnkCxa28kipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v8/TFcGwy6xY/Zd2luqmxYyqtqDJ4V2V9xcFiVc5IaytZHpCXxhFNxKZf%2BmsR5oGavFqS/Iss9a/SLMTb84ZMxW3%2BaLkvYChve6sfZc59tkpEZ0%2BFGH7YoszXqxn/7idoXbHDrK0sx99JbSLFDlVY5PNU52l62jWJrNrQ%2BfCV%2BREGK8txSXTvZigQTZiRU3Mr%2BJ%2BnOWXGoZbz50Y6sjH3aDactxbRYrK2fYAunNXEB2XboyzzblnQL8IRsLfM3VsMnuIQvIAuJ%2B5Sq8qlXoPzHTL&ph=7320c2e1dc02&phv=1,株式会社ASKTrust,                     石川県 金沢市 森戸                                    ,月給24万円～48万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     服装自由                                     若手活躍                                     土日祝休                                     交通費                                     禁煙・分煙                                     髪型・髪色自由                 ,人気,14日以上前,かんたん応募,,
