title,title_url,company,cicon,cicon1,type,keyword,popular,date,easy_apply,salary_min,salary_max
ルート営業および配送業務,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=la2d0e40cc374496f165e14ae154e1ef2&p=t%2BAK7k0GmMUr0ZRss/MBmwmCC9RysXcKHcpuwheRlWA7dBYplCaa4KmUgpPEzIb9SXd%2B5prZkSz6o9uyJjUFM2idAgfHqBQoe/89nqap1kd/qGffM3CHVrZO2d7tgv7a3nqkoDj1Ls5bdVGUKQX7MG3R6E4f/LtlWo03trhXQ/umIpVjGAdxiBMasB7M2GkdA82ZCJoAzKMzzZ71OaxJ6124oPfHfNDB3GMAShI98vOQYFF1bRvuoUEp/R/KfXOHbDUCtujAfIwyTioI7N7U6zIYjVd2Z5i5XJgnzAhyOYhh3Takeyr%2B7yZVJgeH43Zi%2BAOSYW3JcvUnFjyhL5ZJuXOb341e2RTVjQgUG/1axYsbhS4nF4caoVPxNtpOre3ccQa%2B9Jqf2oy4aM4fcFebsftVzwg8F7aW1SaYOWvSblTtAOpC%2BQgUIOYK2aFT9zkyYxFTgJGWJosgJM2lFuQ2qRpjEw%2Boax0BPgJCgKV/hit8IQsoRegljjFVvgE2wduagsGz4dvS/N/f2rwxwrMpPdlavzJZWv3QBcVGUPmrOV4%3D&ph=bcfcef3854d2&phv=1,株式会社坂田亀巣堂,                     石川県 金沢市 福久町                                    ,"月給22万7,300円～ / 賞与あり・昇給あり",正社員,                    未経験OK                                     車通勤OK                                     土日祝休                                     介護休暇                                     家族手当                                     禁煙・分煙                                     年休120日～                 ,人気,14日以上前,かんたん応募,,
                     SDGsで注目!環境衛生を支える ルート営業 転勤なし 未経験OK                 ,https://xn--pckua2a7gp15o89zb.com/jb/35ec58e678488c1536809afc6775cd36,イカリ消毒株式会社,                     石川県 金沢市                                    ,月給23万円～33万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     学歴不問                                     車通勤OK                                     残業月～30時間                                     土日祝休                                     シェア上位                                     第二新卒                 ,人気,14日以上前,,,
                     アパレル販売スタッフ／レプシィム 金沢百番街                 ,https://xn--pckua2a7gp15o89zb.com/jb/b92328c3ba0124e1d12c9fd7a325c864,株式会社アダストリア,                     金沢市 木ノ新保町 / 金沢駅 / 金沢百番街                                    ,"時給1,000円～ / 交通費支給",アルバイト・パート,                    未経験OK                                     女性活躍                                     初バイト                                     シフト制                                     短期・単発                                     学生歓迎                                     フリーター歓迎                 ,人気,14日以上前,,,
                     レディスウェアの販売スタッフ／ハニーズ もりの里店                 ,https://xn--pckua2a7gp15o89zb.com/jb/7d0d4d3639b09928b81d3845cbbaa03f,株式会社ハニーズ,                     金沢市 金沢駅                                    ,"時給1,010円～ / 交通費支給",アルバイト・パート,                    未経験OK                                     服装自由                                     バイクOK                                     社割あり                                     車通勤OK                                     フリーター歓迎                                     禁煙・分煙                 ,人気,14日以上前,,,
                     ホールスタッフ／ラーメン屋                 ,https://xn--pckua2a7gp15o89zb.com/jb/0801e5702459d10eb2c25349cfc4e8b5,ラーメン太る 野々市店,                     野々市市 扇が丘 / 馬替駅 徒歩13分                                    ,月給40万円～,正社員 / アルバイト・パート,                    未経験OK                                     急募                                     接客なし                                     シフト制                                     制服あり                                     ミドル・シニア                                     年齢不問                 ,人気,12日前,,,
                     100円ショップの接客販売スタッフ／ダイソーイオンタウン金沢駅西本町店 7685                 ,https://xn--pckua2a7gp15o89zb.com/jb/b6f4ef2f070a8b8b67c649539f47db71,大創産業株式会社,                     金沢市 金沢駅 徒歩28分                                    ,"時給1,070円～1,120円 / 交通費支給",アルバイト・パート,                    未経験OK                                     女性活躍                                     フリーター歓迎                                     WワークOK                                     シフト制                                     土日祝のみ                                     主婦・主夫                 ,人気,14日以上前,,,
                     事務員／シダックス大新東ヒューマンサービス 金沢営業所                 ,https://xn--pckua2a7gp15o89zb.com/jb/f79a8baf8e546a9b82577644e1a8fb7b,シダックス株式会社,                     金沢市 広岡 / 金沢駅 徒歩5分                                    ,"時給1,200円～ / 交通費支給",アルバイト・パート,                    未経験OK                                     ブランクOK                                     駅チカ                                     シフト制                                     経験者優遇                                     学歴不問                                     ミドル・シニア                 ,人気,14日以上前,,,
                     デビューを応援 営業 転勤なし／完全土日祝休／全国                 ,https://xn--pckua2a7gp15o89zb.com/jb/fc8db03deafcd6ccea10934939a7c3ee,株式会社トップ,                     石川県 金沢市                                    ,"月給25万5,000円～ / 賞与あり・昇給あり",正社員,                    未経験OK                                     学歴不問                                     中途多数                                     週休2日                                     土日祝休                                     女性活躍                                     残業月～30時間                 ,人気,14日以上前,,,
                     キッチンスタッフ、デリ・惣菜販売・スイーツ販売／スーパー・業務スーパー                 ,https://xn--pckua2a7gp15o89zb.com/jb/31b7e8424e72764d129e8c3f5357352b,株式会社MHホールディングス,                     金沢市 長田本町 / 金沢駅 徒歩16分                                    ,"時給1,100円～ / 交通費支給",アルバイト・パート,                    未経験OK                                     ブランクOK                                     バイクOK                                     コロナ感染対策あり                                     経験者優遇                                     研修あり                                     ミドル・シニア                 ,人気,8日前,,,
                     生パスタレストラン ホール・キッチンスタッフ野々市店                 ,https://xn--pckua2a7gp15o89zb.com/jb/cf5ef04b15d4e04588ecca32f467de96,鎌倉パスタ,                     金沢市 乙丸駅 徒歩15分                                    ,"時給1,000円～ / 交通費支給",アルバイト・パート,                    未経験OK                                     女性活躍                                     主婦・主夫                                     制服あり                                     シフト制                                     平日のみOK                                     学生歓迎                 ,人気,8日前,,,
                     ピザハット インストアスタッフ／ピザハット金沢小立野店                 ,https://xn--pckua2a7gp15o89zb.com/jb/17da23bf51cb3be64b77e9dc86a30905,日本ピザハット株式会社,                     金沢市 小立野                                    ,時給984円～,アルバイト・パート,                    未経験OK                                     女性活躍                                     フリーター歓迎                                     土日祝のみ                                     主婦・主夫                                     バイクOK                                     社員登用                 ,人気,14日以上前,,,
                     新幹線車両、駅の清掃スタッフ                 ,https://xn--pckua2a7gp15o89zb.com/jb/5cd7386f00b560e972ab9b8492efaabd,株式会社JR西日本金沢メンテック,                     金沢市 金沢駅 徒歩5分                                    ,"時給1,200円～",契約社員,                    未経験OK                                     ブランクOK                                     制服あり                                     車通勤OK                                     産休・育休                                     シフト制                                     駅チカ                 ,人気,14日以上前,かんたん応募,,
                     地域社会の未来を創造する! 地域共生関連業務 賞与5.3ヶ月                 ,https://xn--pckua2a7gp15o89zb.com/jb/5f3d2975de5efa05739f79f24769d9a0,西日本旅客鉄道株式会社,                     金沢市 広岡 / 金沢駅 徒歩5分                                    ,"月給25万3,066円～50万6,297円 / 賞与あり",正社員,                    未経験OK                                     在宅ワーク                                     女性活躍                                     産休・育休                                     経験者優遇                                     土日祝休                                     寮・社宅あり                 ,人気,14日以上前,,,
                     介護老人保健施設の洗い場スタッフ                 ,https://xn--pckua2a7gp15o89zb.com/jb/272d353ebf8451eddc2a8e1fb53b79b3,株式会社ニチダン,                     金沢市 森本駅 車5分                                    ,"時給1,000円～ / 交通費支給",アルバイト・パート,                    未経験OK                                     ミドル・シニア                                     車通勤OK                                     経験者優遇                                     主婦・主夫                                     研修あり                                     シフト制                 ,人気,14日以上前,かんたん応募,,
塾講師／個別指導塾の教室長候補,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=c20be15330fd0fb28b861a81cfbbcc8d&p=t%2BAK7k0GmMUr0ZRss/MBm0Axv6erdnWH5I/71YLLXmCJ3WSvOBnG7CFUTlMrDff2oq7demqeUBhgflszfejQ%2BmidAgfHqBQoe/89nqap1kfS5XV3%2BQLKtXq9O9Jy%2BX8A3nqkoDj1Ls5bdVGUKQX7MG3R6E4f/LtlWo03trhXQ/umIpVjGAdxiBMasB7M2GkdA82ZCJoAzKMzzZ71OaxJ6124oPfHfNDB3GMAShI98vOQYFF1bRvuoUEp/R/KfXOHY6nmDea7uVGyRQ9B%2BQT91T6OrAWsG0EC6CdGPvUh8SzTf6/bYTqOVXmp3OKv3ssA8x6Z/irCMuvbNtGKp4ClkXOb341e2RTVjQgUG/1axYsbhS4nF4caoVPxNtpOre3ccQa%2B9Jqf2oy4aM4fcFebsZXntVnBtxIt7ZnyCGlbtaUWouv5d0mZom8XRsViggSqq2/rNA077y2fi2iB/upA5eDkWdbCmfuGJpXExdIFjfk%3D&ph=3c11bc9f7d60&phv=1,個別教室のマナベスト,                     石川県 金沢市 笠舞                                    ,"月給24万8,000円～45万5,000円 / 賞与あり・昇給あり",正社員,                    未経験OK                                     急募                                     バイクOK                                     研修あり                                     社保完備                                     経験者歓迎                                     残業なし                 ,人気,14日以上前,かんたん応募,,
"                     売らない 営業 初年度年収1,000万超可能×土日祝休 転勤なし                 ",https://xn--pckua2a7gp15o89zb.com/jb/becb09078628f2be4c203e786b5c9d57,株式会社DLIM,                     金沢市 駅西本町                                    ,月給35万円～ / 賞与あり・昇給あり,正社員,                    未経験OK                                     女性活躍                                     年休120日～                                     経験者優遇                                     土日祝休                                     禁煙・分煙                                     3年連続成長                 ,人気,14日以上前,,,
塾講師／個別指導塾の教室長候補,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=c20be15330fd0fb28b861a81cfbbcc8d&p=t%2BAK7k0GmMUr0ZRss/MBmzwrUsqgffiwozXHA3M02g9YccP3zjq7mF%2Bo1e3RHCgGHc/Rp5GnEhNz9kE5%2BudTsFYtZ3Bbe2u8p1GqFeRxtPMUV2Bvw7g/PY8ku72w/WuWipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQjAl22JGnDmX9hSAF/hwEbDLKg05/T1MOOt/FfzMx2Qw47Tvg1R45s2rz3cRgtyOvuVsj/qbhPxzncNKDyUNGxHOb341e2RTVjQgUG/1axYsbhS4nF4caoVPxNtpOre3ccQa%2B9Jqf2oy4aM4fcFebsZXntVnBtxIt7ZnyCGlbtaUWouv5d0mZom8XRsViggSqq2/rNA077y2fi2iB/upA5eDkWdbCmfuGJpXExdIFjfk%3D&ph=d134c4b8546a&phv=1,個別教室のマナベスト,                     石川県 金沢市 笠舞                                    ,"月給24万8,000円～45万5,000円 / 賞与あり・昇給あり",正社員,                    未経験OK                                     急募                                     バイクOK                                     研修あり                                     社保完備                                     経験者歓迎                                     残業なし                 ,人気,14日以上前,かんたん応募,,
作業員,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lc8be07175579a1b5ca496e04924498fd&p=t%2BAK7k0GmMUr0ZRss/MBm8/JdGnscsHKYICmVkZtWeK58hi3Ln/ARjxutMOdlcvVg42nW%2B7Io7KIvnxC6lfOFlYtZ3Bbe2u8p1GqFeRxtPOGdzXOwsJ0rX4dI9RxDk%2BripUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v89qjA0ZwFyPf2WX6P/uXEpQEetW/pRvJEkPvNCh6d9vSnpCXxhFNxKZf%2BmsR5oGavFqS/Iss9a/SLMTb84ZMxW3%2BaLkvYChve6sfZc59tkpEVtkgnBEvwEhwfkUBd7oBeASoQezGJvAUl9RbBMtdJUdEzE4pJf/JN0J8YojIDx1bRpjEw%2Boax0BPgJCgKV/hisK5PhwO9fNal31Bubly%2B69shMjwY7N0k0caDPKxrQi5w%3D%3D&ph=2bbc05020786&phv=1,沢田工業株式会社,                     石川県 野々市市 粟田 / 乙丸駅 徒歩10分                                    ,"月給20万5,200円～27万7,100円 / 賞与あり・昇給あり",正社員,                    未経験OK                                     ミドル・シニア                                     交通費                                     社員旅行                                     駐車場あり                                     車通勤OK                                     家族手当                 ,人気,14日以上前,かんたん応募,,
福祉施設へのルート営業 資格不問,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lc9d13d011e030eb76f2d2126a5f3e242&p=t%2BAK7k0GmMUr0ZRss/MBmz%2BzX5x7oxZqT2foXnFYJLxvrvSOnFISGE/LLQvUnNacIiTGC5EICPFeq/z9bCTPgVYtZ3Bbe2u8p1GqFeRxtPOsE8vzADK5ajZblM2/0uG1ipUbZRdFt19vBBtuq3ustHMtRZ7iFhPhaB3viMitjnJQ3um3ei2oZ0eSLL2gva2ArmrqYgEeW3EH8%2BsI1TDc2vVgtHJqy88BRkTjXoV4g42FhTvG%2BfC4Z7YuTf69ETIQDDplwLExZ6IbomuEN02AkCRNifsiQ5ije4scwzJ7v8%2B6I94vi/Y4VBfFMklXSKFlqOHMDxgr02OwqNj5mh9JvHpCXxhFNxKZf%2BmsR5oGavFqS/Iss9a/SLMTb84ZMxW3%2BaLkvYChve6sfZc59tkpEQSw%2BWbNq3dMM34aKmwNWykqRIvh97nOoEl21EP7B0HDocu2GbYTDzQIUNEMzYrg8Q%2BvLRWTA/LnhsnYlkkcO36yhLw92joGK0Yt2QTK0Md574Ne3X9O3hmxa0Jq/XLJy143uss04ynWpBKl%2BqRS7WE%3D&ph=ff4e6c7ddfa9&phv=1,株式会社トミキライフケア,                     石川県 金沢市 問屋町                                    ,月給20万円～30万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     女性活躍                                     残業少                                     禁煙・分煙                                     週休2日                                     アットホーム                                     車通勤OK                 ,人気,14日以上前,かんたん応募,,
